"key","ja_de","ja_de_f","ja_en"
"CONTINUE","さらに","さらに","続ける"
"RESULTS_SAVED","結果が保存されました。","結果が保存されました。","結果が保存されました。"
"CLOSE_BROWSER","<br>これでブラウザのウィンドウを閉じることができます。","<br>これでブラウザのウィンドウを閉じることができます。","<br>これでブラウザのウィンドウを閉じることができます。"
"PAGE_HEADER","問題 {{num_question}} {{test_length}} より","問題 {{num_question}} {{test_length}} より","問題 {{num_question}} {{test_length}} のうち{{num_question}}。"
"JANUARY","1月","1月","1月"
"FEBRUARY","2月","2月","2月"
"MARCH","3月","3月","3月"
"APRIL","4月","4月","4月"
"MAY","5月","5月","5月"
"JUNE","6月","6月","6月"
"JULY","7月","7月","7月"
"AUGUST","8月","8月","8月"
"SEPTEMBER","9月","9月","9月"
"OCTOBER","10月","10月","10月"
"NOVEMBER","11月","11月","11月"
"DECEMBER","12月","12月","12月"
"NONE","なし","なし","なし"
"YEAR","年","年","年"
"MONTH","月","月","月"
"OTHER_NATIONALITY","その他の国籍","その他の国籍","その他の国籍"
"OTHER_COUNTRY","その他の国","その他の国","その他の国"
"OTHER_LANGUAGE","その他の言語","その他の言語","その他の言語"
"CHOOSE_ANSWER","まず答えを選びなさい！","まず答えを選んでください！","まず答えを選ばなければならない！"
"CHOOSE_AT_LEAST_ONE_ANSWER","少なくとも1つの答えを選びなさい！","少なくとも1つの答えを選んでください！","少なくとも1つの答えを選んでください！"
"ANSWER_NEEDED","何か入力してください！","何か入力してください！","お答えください！"
"SELECT_MONTH","月を選択してください！","月を選択してください！","月を選択してください！"
"SELECT_YEAR","年を選択してください！","年を選択してください！","年を選択してください！"
"E.G.","例","例","例"
"SELECT_MONTH_AND_YEAR","月と年を選択してください！","月と年を選択してください！","月と年を選択してください！"
"ENTER_ID","IDを入力してください","IDを入力してください","IDを入力してください"
"ENTER_ID_FORMAL","IDを入力してください","IDを入力してください","IDを入力してください"
"PROBLEMS_INFO_1","問題？","問題？","問題？"
"PROBLEMS_INFO_2","その後、次の宛先に電子メールをお送りください。","その後、次の宛先に電子メールをお送りください。","連絡先"
"PROBLEMS_INFO_3","このページを参照してください。","このページを参照してください。","このページへのリンク付き"
