"song count","track count","file no. (full track)","File name (producer_title)","Songwriter/Producer (artist name)","Song title (romanized Japanese / English translation)","excerpt extension no.","Length (in seconds)","LYRICS (original language)","LYRICS (Romanized)","LYRICS (English translation)","LYRICS_de_deepL"
1,1,1,"3kadocona","3kado-cona","yande orimasu no / I'm sick","_02",16,"私
病んでおりますの
病んでおりますの
赤い雫
ポタリと落ちた
ねえ
泣いておりますの
反らした目線
黒猫が通る","watashi
yande orimasu no
yande orimasu no
akai shizuku
potari to ochita
ne-e
naite orimasu no
sorashita mesen
kuro neko ga to'oru","I ...
am sick/suffering.
I am sick/suffering
red drops
fell drop-by-drop
Hey...
I'm crying
Eyes turned back
A black cat walks by","I...
ich bin krank.
Ich bin krank.
Ein roter Tropfen
Ein roter Tropfen.
Hey...
Sie weint.
Die Augen sind nach hinten gerichtet.
Eine schwarze Katze läuft vorbei."
1,1,2,"COBAx_aBouqet","COBA_x5884x","kimi ni kanzone no hanabata wo / a bouquet of flowers for you","_01",21,"[君に]カンツォーネの花束を
くすんだ言葉より
斜め40度から溢れる
真紅の想いを
君のために何一つも持たない僕から
君にカンツォーネの花束を
贈るように捨てた","[kimi ni] kanzone no hanabata wo
kusunda kotoba yori 
naname yonjuu do kara afureru
shinku no omoi wo
kimi no tame ni nani hitotsu mo motanai boku kara
kimi ni kanzone no hanabata wo
okuruyou ni suteteta","A bouquet of canzone [for you]
More than dull words
from 40 degrees diagonally
I'll give you a crimson thought
from me who has nothing for you
I'll give you a bouquet of canzone flowers
I threw it away like a bouquet of canzone flowers","[Für Sie] ein Strauß von Canzonen.
Mehr als dumpfe Worte
Überfließend von 40 Grad diagonal
Meine karminroten Gedanken.
Von mir, der nichts für dich hat
gebe ich dir einen Blumenstrauß aus Canzonen
Ich warf ihn weg wie ein Geschenk für dich"
1,1,3,"COBAx_breaking","COBA_x5884x","hokorobi / breaking open","_01",38,"懐かしい そう感じるには
まだ勇気が出ないな
大人だと言うけれど
 
桜が 蕾をつければ
なにかが変わってゆく
そんな風が吹いてた","natsukashii sou kanjiru ni wa
mada yuki ga denai na
otona da to iu keredo
 
sakura ga tsubomi wo tukereba
nanika ga kawatte yuku
sonna kaze ga fuiteta","Feelings of nostalgia
Courage cannot yet be mustered,
even though you say I'm an adult.
 
When the cherry blossoms bud,
something changes
Such a wind was blowing","Es ist lange her, dass ich so etwas gefühlt habe.
Ich bin noch nicht mutig genug.
Du sagst, du bist erwachsen.

Wenn die Kirschblüten blühen
Verändert sich etwas
Solch ein Wind wehte"
1,1,4,"COBAx_HiHo","COBA_x5884x","Hi-Ho","_02",15,"Hi-Ho
笑ってたって 強がってたって
平気なフリをしてたって
Hi-Ho
心の中の 煮えたぎった
戦慄くモノを抑えて","Hi-Ho
waratte tatte tsuyogatte tatte
heiki na furi wo shitetatte
Hi-Ho
kokoro no naka no nieta gitta
wananaku mono wo osaete","Hi-Ho
Though smiling, though showing courage.
Though pretending to be calm/cool
Hi-Ho
inside my heart  a boiling
trembling thing I suppress","Hi-Ho.
Du hast gelächelt, du warst stark, du hast so getan, als ginge es dir gut.
Du hast so getan, als ginge es dir gut.
Hi-Ho
Ich habe ein brodelndes Geschwür in meinem Herzen
Unterdrücke das Schaudern"
1,1,5,"COBAx_Indigo","COBA_x5884x","aiirobanka / Indigo multifariousness","_02",16,"私、気づけば恋をしてた
「恋に身をやつせ」と言いますが
藍に、染まった華を裂き
秋風が立つ","watashi, ki dzukeba koi wo shiteta
「koi ni mi wo yatsuse」to iimasu ga
ai ni、somatta hana wo saki
aki-kaze ga tatsu","I found myself falling in love.
They say, ""Give yourself over to love.""
to indigo, cleaving the dyed flowers
The autumn wind rises","Ich habe mich in der Liebe wiedergefunden.
Sie sagen: ""Gib dich der Liebe hin"".
Indigo, das die gefärbten Blumen zerreißt
Der Herbstwind erhebt sich"
1,1,6,"COBAx_LiarLiar","COBA_x5884x","Liar×Liar","_01",27,"『カミサマ』や『テンメイ』に
皆こぞって手を合わす
『自己満』と『自己愛』が
無自覚に溢れ出す
差し出された 救済の声
知りもせず、疑わず
人は手を取るのだろう","『kami-sama』ya『ten-mei』ni
mina kozotte te wo awasu
『jiko-man』to『jiko-ai』ga
mu-jikaku ni afure dasu
sashi dasareta kusai no koe
shiri mo sezu、utagawazu
hito wa te wo toru no darou","Everyone joins hands with ""god"" and “dawn”
Everyone joins hands to ""god"" and “dawn""
Self-satisfaction and narcissism are
Unmindfully pouring out
The voice of salvation offered to us
unknowing, unsuspecting
Will people take the hand","Die ""Kamisama"" und die ""Tenmei"".
Jeder reicht jedem anderen die Hand.
Selbstverwirklichung und Selbstliebe
Überfließen unbewusst.
Die Stimme der Erlösung, die uns angeboten wird
Ohne zu wissen oder zu ahnen
Werden die Menschen meine Hand nehmen?"
1,1,7,"emoco_goodbye","emoco (MeKo)","sayonara, reiniiburuu / Goodbye, Rainy Blue","_02",34,"[僕だ]けの音楽よ
人も街も全部凪いで往け
｢もう遅い｣だなんて言い訳は
二度と聴かせたりしないから
揺らいだ感情を謳って 届いて","[boku da]ke no ongaku yo
hito mo machi mo zenbu naide ike
｢mou osoi｣da nante ii wake wa
ni do to kikasetari shinai kara
yuraida kanjou wo utatte todoite","[It's my own] music
Calm down and let the people and the city go
I'll never give you the excuse that it's too late
I'll never make you listen to it again
So please reach me with your wavering
emotions","[Es gibt nur mich und meine Musik.
Beruhigt die Leute, beruhigt die Stadt, beruhigt die ganze Sache und geht.
Ich werde nie Ausreden erfinden wie: ""Es ist zu spät.
Ich werde es dich nicht mehr hören lassen
Sagt eure schwankenden Gefühle, erreicht mich"
1,1,8,"giga_tetrodotoxin","Giga","tetorodotokisaiza 2 gou / Tetrodotoxin Synthesizer No.2","_02",16,"まっ逆さま 飛んでゆく
いらないモノ 沢山落として
真っ正面 キミだけに
ファースト・キス・ミサイルを 撃ち込め","massakasama tonde yuku
iranai mono takusan otoshite
masshoumen kimi dake ni
faasuto kisu misa'iru wo uchi kome","flying head-over-heals
dropping many needless things 
directly opposite only you
I launch the first-kiss-missile","Er fliegt kopfüber.
Lässt einen Haufen Zeug fallen, das ich nicht brauche
Kopfüber, nur du.
Erstkuss-Raketen."
1,2,9,"haraguchisasuke_akotoba","HARAGUCHI Sasuke","Akotoba","_01",16,"生きる空　重なる無線
命を照らす　青いヒカリ","ikiru sora　kasanaru musen
inochi wo terasu　aoi hikari","Living sky,  accumulating wireless
The blue light that illuminates our lives","Lebendiger Himmel Überlappende Radios
Blaues Hikari erhellt das Leben"
,,,,,,"_02",31,"言葉で世界が変わる時は訪れないけど
どこかで揺らめく音の響きになれたらいいな

力？と立場？を使うよりかは届かないけど　
少しだけ強く願うことの意味になりたいよ","kotoba de sekai ga kawaru toku wa otozurenai kedo
dokoka de yurameku oto no hibiki ni naretara ii na

chikara？to tachiba？wo tsukau yori ka wa todokanai kedo　
sukoshi dake tsuyoku negau koto no imi ni naritai yo","Though the time never comes when words can change the world
I wish I could be the sound of a shimmering sound somewhere

Power? and position? I wish to be the meaning of what I wish a little bit stronger　
I wish to be the meaning of what I wish a little stronger","Ich kann nicht zu einer Zeit kommen, in der Worte die Welt verändern können, aber...
Ich wünschte, ich könnte der Klang eines schimmernden Tons irgendwo sein

Macht? und Position? Ich wünschte, ich könnte die Bedeutung eines Wunsches sein, der nur ein kleines bisschen stärker ist
Ich wünschte, ich könnte die Bedeutung eines etwas stärkeren Wunsches sein"
1,1,10,"haraguchisasuke_Minibias","HARAGUCHI Sasuke","mini hen / Mini Bias","_01",17,"各・略る 町
田んぼの田
タダ飯 飯
食当たり 残念！
観念！何にも不可解
 
あと、くっ付く角
アかイかウ選ぶ
解らない でも分かる
左側 変","kaku・ryakuru machi
tonbo no ta
tada meishi meishi
shoku atari zannen！
kannen！Nan ni mo fukakai
 
ato、kuttsuku kado
a ka i ka u erabu
wakaranai demo wakaru
hidarigawa hen","Each of abbreviated. Town
rice field in a paddy field
free meal, meal.
food is there, too bad!
Oh well ! I don't understand it.
 
After, sticky corner
Choose ‘a’, ‘b’, or ‘c’.
I don't understand but I recognize.
Left side. That's weird.","Jede, abgekürzte Stadt
Reisfelder
Kostenloses Essen Mittagessen
Lebensmittelvergiftung Schande!
Begriff! Ich verstehe das nicht.

Und die Hörner, die zusammenkleben.
Wähle a, b oder c.
Ich weiß es nicht, aber ich weiß es.
Auf der linken Seite. Das ist komisch."
1,1,11,"hutekigou_notlove","hutekig0u","ai janai / Not Love","_02",15,"[最前線]　開戦
君の眼前
絡まる欲 無い際限
くすぶり誤魔化すごとに亀裂する制限
 
暮れる沿線
夕焼けが溶かす罫線
恋焦がれ 汚れあられ
気が狂う寸前","[saizensen] kaizen,
kimi no ganzen
karamaru yoku, nai saigen
kusuburi gomakasu goto ni kiretsu suru seigen
 
kureru ensen
yuuyake ga tokasu keisen
koikogare  yogore arare
ki ga kuruu senzen","[The front line] open war
right in front of you, 
entangled desires, no bounds.
a limitation that rifts with each smoldering deception
 
train tracks come to an end, 
the demarcation line where the sunset melts
deep yearning and dirty hail
The verge of losing all senses","[Frontline] Krieg.
Direkt vor Ihren Augen.
Verstrickte Gier, keine Grenzen.
Grenzen, die mit jeder schwelenden Täuschung brechen.

Entlang der Linie in der Abenddämmerung
Die Linie, an der der Sonnenuntergang schmilzt
Sehnsucht nach Liebe, schmutzig und heimgesucht
am Rande des Wahnsinns"
1,2,12,"kiichi_incomplete","kiiichi","fukanzennamuketsu / incomplete not undecided","_01",28,"空を覆う煙
晄の蛹虫が眠り
滲む銀色の体液

バス停に一人きり","sora wo oou kemuri
hikari no youchuu ga nemuri
nijimu gin'iro no taieki

basu'tei ni hitori kiri","The chrysalis insects of the smoke-filled mushrooms that cover the sky sleep, their silvery fluids oozing.

You're alone at a bus stop,","Rauch bedeckt den Himmel
Die Insektenpuppen der Adern schlafen
silbrige Flüssigkeit sickert aus ihrem Körper

allein an der Bushaltestelle."
,,,,,,"_02",27,"不完全無無決
真剣に信じている
斑色した
アネモネが狂い咲く","fu'kanzen'na'muketsu
shinken ni shinjite'iru
madara'iro shita
anemone ga kurui saku","incomplete not undecided
I believe in earnest.
In mottled color 
anemone bloom out of season","Unvollständig und unentschlossen
Ernsthafte Überzeugung
Gesprenkelt.
Anemone blüht wie verrückt"
